;TECHPUBLAYERNAME;uuid
382;ch.bazl.bebaute-gebiete_luftfahrtrecht;13a1d280-d6ee-4c57-8ee4-ffcebedcfc2e
383;ch.bazl.einschraenkungen-drohnen;c3ebd7ba-0fd5-411a-9074-3d0cdc46bc4d
384;ch.bazl.flugplaetze-heliports;4fbaa79b-688f-4060-9afd-b1c5b2147ee2
385;ch.bazl.gebirgslandeplaetze;d31ecd5b-e00c-430b-ab2e-d9148a199b9c
386;ch.bazl.kataster-belasteter-standorte-zivilflugplaetze;3f7c8f9f-b1be-4eb6-a9e2-7bdacf35dd58
387;ch.bazl.laermbelastungskataster-zivilflugplaetze_erste-nachtstunde;e53ef5a2-628d-46bd-a14e-d0d275cdec77
388;ch.bazl.laermbelastungskataster-zivilflugplaetze_helikopter;7d6f8271-37ef-40e2-a7c0-8014100697b8
389;ch.bazl.laermbelastungskataster-zivilflugplaetze_helikopter-maximalpegel;16e974d6-94ef-4006-97ff-f17428ea6687
390;ch.bazl.laermbelastungskataster-zivilflugplaetze_klein-grossflugzeuge;f08c2e4b-e458-431f-b98b-32c59ec7baec
391;ch.bazl.laermbelastungskataster-zivilflugplaetze_kleinluftfahrzeuge;88237a28-1e39-440f-89c4-a26c8a605243
392;ch.bazl.laermbelastungskataster-zivilflugplaetze_letzte-nachtstunde;474bf1cb-ffd3-45d7-a24b-0d89beaa4ad2
393;ch.bazl.laermbelastungskataster-zivilflugplaetze_militaer-gesamt;cd12a6cd-38f0-4ea4-bbeb-4cc1be8bf0a6
394;ch.bazl.laermbelastungskataster-zivilflugplaetze_zweite-nachtstunde;f9bff7c5-8390-4538-82b6-9595d6133e31
395;ch.bazl.landschaftsruhezonen;8af95971-c458-4f4e-bfe4-2d541a1274e8
396;ch.bazl.luftfahrthindernis;b43208df-1ac2-4d00-b559-d83e4d86ba1a
397;ch.bazl.luftraeume-fluginformationsgebiet;cde5d669-5c65-4338-9e7c-dc839df4a8b4
398;ch.bazl.luftraeume-fluginformationszonen;4d9bdb6f-3af1-4ef1-aad0-d6560ff996e0
399;ch.bazl.luftraeume-kontrollbezirke;5fd1a95b-8f2c-4fff-8038-a7b2922488ad
400;ch.bazl.luftraeume-kontrollzonen;ee7cdbda-996a-45f9-aeff-aa63fa0d446a
401;ch.bazl.projektierungszonen-flughafenanlagen;d76d6e8d-c6ac-40f3-92c0-2a953cb99d9f
402;ch.bazl.sachplan-infrastruktur-luftfahrt_kraft;ae5fa63c-c153-496a-b8a6-c896126398b1
403;ch.bazl.schutzgebiete-aulav_liechtenstein;25c6e9dd-b658-41fa-8f8d-3fc2775e3a6f
404;ch.bazl.sicherheitszonenplan;f0ac2ddb-8b07-421b-ada6-8c192b593bca
405;ch.bazl.spitallandeplaetze;afcad9a9-3c1c-4640-a6a9-aa279e4d501c
